src,dst,proto,len
192.168.1.7,224.0.0.251,17,211
192.168.1.7,224.0.0.251,17,86
192.168.1.7,224.0.0.251,17,86
192.168.1.7,224.0.0.251,17,86
192.168.1.7,224.0.0.251,17,269
192.168.1.7,224.0.0.251,17,212
192.168.1.9,224.0.0.251,17,82
192.168.1.6,224.0.0.251,17,409
192.168.1.6,224.0.0.251,17,86
192.168.1.6,224.0.0.251,17,86
192.168.1.6,224.0.0.251,17,86
192.168.1.6,224.0.0.251,17,473
192.168.1.6,224.0.0.251,17,416
192.168.1.19,142.250.193.164,17,71
142.250.193.164,192.168.1.19,17,66
192.168.1.19,4.153.129.168,6,756
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,775
192.168.1.19,8.8.8.8,17,72
8.8.8.8,192.168.1.19,17,153
4.153.129.168,192.168.1.19,6,85
4.153.129.168,192.168.1.19,6,60
192.168.1.19,4.153.129.168,6,54
192.168.1.19,4.153.129.168,6,54
192.168.1.19,4.153.129.168,6,66
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,66
192.168.1.19,4.153.129.168,6,54
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,640
4.153.129.168,192.168.1.19,6,60
4.153.129.168,192.168.1.19,6,66
4.153.129.168,192.168.1.19,6,1514
4.153.129.168,192.168.1.19,6,1514
192.168.1.19,4.153.129.168,6,54
4.153.129.168,192.168.1.19,6,1230
4.153.129.168,192.168.1.19,6,1239
192.168.1.19,4.153.129.168,6,54
192.168.1.19,4.153.129.168,6,147
192.168.1.19,4.153.129.168,6,756
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,1494
192.168.1.19,4.153.129.168,6,775
